Date,Ticker,Daily_Return,Close
2023-05-25,GOOGL,10.1384,83.4372
2023-05-15,JPM,7.5289,122.3925
2022-10-13,AAPL,6.9895,110.173
2022-10-24,AAPL,6.975,118.6516
2022-10-13,GOOGL,6.8138,64.7722
2024-11-19,GOOGL,6.7847,107.627
2022-10-13,XOM,6.7689,83.8174
2023-11-01,XOM,6.6009,82.2091
2023-11-01,JPM,6.5367,157.755
2023-05-25,EUR/USD,6.3526,0.9844
2024-11-06,JPM,6.0813,118.0896
2024-07-25,GOOGL,6.0156,92.362
2023-05-25,AAPL,5.8442,136.4345
2022-04-01,JPM,5.7722,127.1874
2023-06-12,GOOGL,5.7604,90.601
2023-06-14,GOOGL,5.6785,94.0472
2022-10-13,MSFT,5.631,187.2244
2022-09-26,JPM,5.6191,94.8556
2023-05-25,JPM,5.602,140.9779
2023-11-03,AAPL,5.5819,157.196
