Date,Ticker,Daily_Return,Close
2024-09-12,GOOGL,-7.6434,106.857
2022-06-13,GOOGL,-7.5853,59.5634
2022-02-24,AAPL,-7.4874,109.6863
2022-06-10,GOOGL,-7.3467,64.4523
2022-09-12,GOOGL,-7.1723,54.5505
2022-06-03,XOM,-6.8869,59.84
2022-05-10,MSFT,-6.7214,185.4948
2024-08-15,GOOGL,-6.4531,97.7236
2022-06-13,JPM,-6.4465,121.6179
2022-06-13,AAPL,-6.3062,94.9174
2023-12-11,XOM,-6.2651,66.9854
2024-01-10,GOOGL,-6.247,123.3258
2022-02-24,MSFT,-6.1717,227.2478
2022-02-24,GOOGL,-6.1215,85.372
2022-06-13,EUR/USD,-6.1043,0.9952
2022-05-10,XOM,-5.984,68.722
2022-12-26,XOM,-5.8591,70.2062
2023-01-05,AAPL,-5.7943,119.4587
2023-05-23,GOOGL,-5.6701,74.9182
2022-08-03,JPM,-5.6159,99.3591
